City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.13,broken clouds,-23.1203,-134.9692,Pension Maro'i
4,Meulaboh,ID,77.81,overcast clouds,4.1363,96.1285,Kost Pria
5,Puerto Ayora,EC,79.0,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
12,Gambela,ET,79.99,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
17,Georgetown,MY,78.8,scattered clouds,5.4112,100.3354,Cititel Penang
22,Tutoia,BR,77.86,overcast clouds,-2.7619,-42.2744,Pousada Guará's
26,Atuona,PF,80.8,few clouds,-9.8,-139.0333,Villa Enata
28,Caravelas,BR,75.6,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
31,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
35,Butaritari,KI,82.38,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
39,Shankargarh,IN,82.71,clear sky,25.1833,81.6167,Akash. Tea. Stal
46,Pemangkat,ID,76.46,overcast clouds,1.1667,108.9667,Ramah Kost KITA
54,Saint-Leu,RE,75.2,clear sky,-21.15,55.2833,La Caz Oceane
55,Kieta,PG,82.63,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
62,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
63,Hithadhoo,MV,82.24,broken clouds,-0.6,73.0833,Scoop Guest House
64,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
67,Cabo San Lucas,MX,86.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
69,Belmonte,BR,77.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
71,Faanui,PF,82.45,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
