City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Rikitea,-23.1203,-134.9692,78.13,72,75,7.49,PF,broken clouds
1,Port Alfred,-33.5906,26.891,65.91,55,96,22.21,ZA,overcast clouds
2,Chokurdakh,70.6333,147.9167,-10.95,97,60,2.06,RU,broken clouds
3,Punta Arenas,-53.15,-70.9167,51.8,71,40,9.22,CL,scattered clouds
4,Meulaboh,4.1363,96.1285,77.81,83,100,1.81,ID,overcast clouds
5,Puerto Ayora,-0.7393,-90.3518,79.0,89,75,9.22,EC,light rain
6,Bredasdorp,-34.5322,20.0403,64.4,59,19,12.66,ZA,few clouds
7,Golspie,57.9727,-3.978,36.0,90,47,3.0,GB,scattered clouds
8,Kapaa,22.0752,-159.319,77.0,73,90,9.22,US,light rain
9,Ust-Nera,64.5667,143.2,8.4,89,100,5.79,RU,overcast clouds
10,Kozulka,50.0351,23.797,35.6,100,75,8.95,UA,light snow
11,Kodiak,57.79,-152.4072,42.8,81,90,9.22,US,light rain
12,Gambela,8.25,34.5833,79.99,49,38,2.17,ET,scattered clouds
13,Albany,42.6001,-73.9662,45.0,72,100,1.99,US,heavy intensity rain
14,Nikolskoye,59.7035,30.7861,41.0,45,0,11.18,RU,clear sky
15,Mataura,-46.1927,168.8643,51.01,89,87,8.99,NZ,overcast clouds
16,Taltal,-25.4,-70.4833,65.91,75,30,5.73,CL,scattered clouds
17,Georgetown,5.4112,100.3354,78.8,89,40,4.61,MY,scattered clouds
18,Luderitz,-26.6481,15.1594,78.67,29,76,6.11,NA,broken clouds
19,Olafsvik,64.8945,-23.7142,44.35,97,100,22.48,IS,overcast clouds
20,Ushuaia,-54.8,-68.3,51.8,46,40,14.97,AR,scattered clouds
21,Airai,-8.9266,125.4092,56.86,77,83,2.53,TL,broken clouds
22,Tutoia,-2.7619,-42.2744,77.86,88,99,7.67,BR,overcast clouds
23,Hay River,60.8156,-115.7999,55.4,33,71,12.66,CA,broken clouds
24,Umtata,-31.5889,28.7844,58.46,82,99,12.8,ZA,overcast clouds
25,Redmond,47.674,-122.1215,73.99,35,0,7.14,US,clear sky
26,Atuona,-9.8,-139.0333,80.8,68,23,17.25,PF,few clouds
27,Vardo,70.3705,31.1107,32.0,93,75,11.5,NO,light snow
28,Caravelas,-17.7125,-39.2481,75.6,60,99,8.93,BR,overcast clouds
29,Myitkyina,25.3833,97.4,72.34,40,100,1.95,MM,overcast clouds
30,Ereymentau,51.6199,73.1033,45.79,62,0,4.65,KZ,clear sky
31,Mahebourg,-20.4081,57.7,77.0,94,75,1.14,MU,light rain
32,Montepuez,-13.1256,38.9997,65.84,98,52,3.36,MZ,broken clouds
33,Yellowknife,62.456,-114.3525,41.0,52,20,17.27,CA,few clouds
34,Khatanga,71.9667,102.5,12.45,94,100,12.88,RU,light snow
35,Butaritari,3.0707,172.7902,82.38,74,100,9.69,KI,overcast clouds
36,Kuybysheve,47.358,36.6491,41.49,90,9,10.85,UA,clear sky
37,Saint George,37.1041,-113.5841,69.01,15,20,14.97,US,few clouds
38,Ponta Do Sol,32.6667,-17.1,64.4,72,75,8.05,PT,broken clouds
39,Shankargarh,25.1833,81.6167,82.71,22,7,8.9,IN,clear sky
40,Tuatapere,-46.1333,167.6833,51.01,89,100,8.99,NZ,overcast clouds
41,Klaksvik,62.2266,-6.589,44.6,93,73,18.41,FO,broken clouds
42,Apricena,41.7839,15.4437,42.8,75,0,4.61,IT,clear sky
43,Thompson,55.7435,-97.8558,46.4,18,75,2.3,CA,broken clouds
44,Kichmengskiy Gorodok,59.9816,45.7854,32.65,82,7,5.73,RU,clear sky
45,Cape Town,-33.9258,18.4232,66.2,68,0,11.5,ZA,clear sky
46,Pemangkat,1.1667,108.9667,76.46,88,86,4.12,ID,overcast clouds
47,Saldanha,-33.0117,17.9442,69.8,56,46,5.75,ZA,scattered clouds
48,Syracuse,37.0881,15.2792,53.6,100,75,10.36,IT,moderate rain
49,Torbay,47.6666,-52.7314,33.01,100,90,19.57,CA,light snow
50,Port Elizabeth,-33.918,25.5701,62.6,77,90,9.22,ZA,overcast clouds
51,Chuy,-33.6971,-53.4616,66.52,93,100,4.07,UY,overcast clouds
52,Fortuna,40.5982,-124.1573,61.0,63,1,17.27,US,clear sky
53,Orange,33.7,-117.7675,66.99,52,75,10.36,US,broken clouds
54,Saint-Leu,-21.15,55.2833,75.2,83,0,4.61,RE,clear sky
55,Kieta,-6.2167,155.6333,82.63,77,51,3.27,PG,broken clouds
56,Cockburn Town,21.4612,-71.1419,74.95,60,19,9.8,TC,few clouds
57,Ilulissat,69.2167,-51.1,12.2,62,75,6.91,GL,broken clouds
58,Kasempa,-13.4584,25.8338,62.94,61,85,4.52,ZM,overcast clouds
59,Kresna,41.7333,23.15,39.52,79,78,5.97,BG,broken clouds
60,Baicheng,45.6167,122.8167,41.92,85,100,12.73,CN,moderate rain
61,Carnarvon,-24.8667,113.6333,73.17,30,0,15.3,AU,clear sky
62,Avarua,-21.2078,-159.775,82.4,74,20,10.36,CK,few clouds
63,Hithadhoo,-0.6,73.0833,82.24,70,64,5.17,MV,broken clouds
64,Vaini,-21.2,-175.2,78.8,78,20,10.36,TO,few clouds
65,Xiaoyi,34.6178,109.703,50.5,36,93,2.98,CN,overcast clouds
66,Ribeira Grande,38.5167,-28.7,62.6,88,40,5.75,PT,scattered clouds
67,Cabo San Lucas,22.8909,-109.9124,86.0,21,40,14.97,MX,scattered clouds
68,Saskylakh,71.9167,114.0833,-7.69,99,97,5.75,RU,overcast clouds
69,Belmonte,-15.8631,-38.8828,77.0,65,40,6.91,BR,scattered clouds
70,Akdepe,42.0551,59.3788,55.4,40,0,2.3,TM,clear sky
71,Faanui,-16.4833,-151.75,82.45,73,41,12.37,PF,scattered clouds
72,Jamestown,42.097,-79.2353,41.0,65,90,12.66,US,light rain
73,Kaitong,44.8135,123.15,42.96,69,91,19.42,CN,light rain
74,Ostrovnoy,68.0531,39.5131,27.7,92,99,4.99,RU,overcast clouds
75,Hermanus,-34.4187,19.2345,64.99,71,8,8.01,ZA,clear sky
76,Puerto Leguizamo,-0.1934,-74.7819,80.6,84,98,2.06,CO,overcast clouds
77,Barra Patuca,15.8,-84.2833,82.04,70,100,11.39,HN,overcast clouds
78,Clyde River,70.4692,-68.5914,6.8,78,20,25.32,CA,snow
79,La Ronge,55.1001,-105.2842,51.8,32,18,10.36,CA,few clouds
80,Messina,38.1933,15.5497,55.99,82,40,9.22,IT,light rain
81,Gewane,10.1664,40.6453,81.55,41,2,1.81,ET,clear sky
82,Arraial Do Cabo,-22.9661,-42.0278,77.0,65,0,6.91,BR,clear sky
83,Alofi,-19.0595,-169.9187,82.4,65,20,5.75,NU,few clouds
84,Tasiilaq,65.6145,-37.6368,26.6,86,90,19.57,GL,snow
85,Shebunino,46.4339,141.8603,41.27,80,16,10.4,RU,few clouds
86,Geraldton,-28.7667,114.6,62.6,55,4,8.05,AU,clear sky
87,Umm Lajj,25.0213,37.2685,79.75,36,0,5.12,SA,clear sky
88,Hilo,19.7297,-155.09,78.8,53,90,5.75,US,overcast clouds
89,Jiangyou,31.7667,104.7167,56.01,73,100,3.44,CN,light rain
90,Mezen,65.8522,44.24,30.76,87,100,4.99,RU,overcast clouds
91,Quelimane,-17.8786,36.8883,77.0,83,0,5.75,MZ,light rain
92,Hobart,-42.8794,147.3294,46.99,66,20,12.66,AU,few clouds
93,Qaanaaq,77.484,-69.3632,1.74,70,5,4.54,GL,clear sky
94,Moerai,-22.4333,-151.3333,80.85,75,17,13.73,PF,few clouds
95,Isangel,-19.55,169.2667,82.54,76,20,4.25,VU,few clouds
96,Namibe,-15.1961,12.1522,80.87,77,19,2.57,AO,few clouds
